Model,RMSE (kW),MAE (kW),MAPE (%)
Baseline Persistence (Lag-24),134.3184051513672,52.11750030517578,177.84564208984375
Linear Regression with Lags,52.668551968702175,30.43804290755356,103.2098674550848
Gradient Boosting (Hist),36.01146722332734,15.20114554742082,52.61297587302594
