Model,Train R2,Train MAE (kW),Train RMSE (kW),Train MAPE (%),Test R2,Test MAE (kW),Test RMSE (kW),Test MAPE (%)
Linear Regression,0.9992731809616089,0.16558566689491272,0.27792972326278687,8.879546165466309,0.9993894696235657,0.16406722366809845,0.2552339732646942,8.954276084899902
Gradient Boosting (Hist),0.9996543405832303,0.08938957246884574,0.1916628989687142,1.6214849501465451,0.9997327844091923,0.08951867915667697,0.16885469189253446,1.6485152941001602
Random Forest,0.999626621257167,0.11834346325869005,0.19919968661867743,2.1624153052151933,0.9995667495034638,0.12124981646141764,0.21500658954941668,2.1976908964671726
